aptSeq,name,sigungu,ageBand,hhBand,parkingStatus,total_WA,complex
26230-4572,"양정자이더샵SKVIEW아파트(1단지)",부산진구,0-10,500-999,KNOWN,64.8,85.2
26230-2457,"다해미네스트",부산진구,0-10,<100,MISSING,50.7,53.3
26230-1694,"대원칸타빌멤버스",부산진구,11-20,500-999,KNOWN,70.7,71.5
26230-148,"경남",부산진구,21-30,500-999,MISSING,59.8,67.7
26230-2861,"초읍월드메르디앙에듀포레",부산진구,0-10,100-299,KNOWN,60.2,68.4
26230-1590,"시영(6~11동)",부산진구,31+,100-299,MISSING,54.7,35.2
26230-1824,"개금롯데캐슬",부산진구,11-20,300-499,KNOWN,57.8,70.8
26230-2604,"양정이즈카운티",부산진구,0-10,100-299,KNOWN,62.8,69.7
26230-2121,"서면동일스위트",부산진구,11-20,unknown,MISSING,69.3,69.4
26230-19,"전포시영",부산진구,31+,unknown,MISSING,33.2,13.6
26230-1667,"벽산블루밍",부산진구,11-20,300-499,KNOWN,49.9,62.2
26230-161,"무궁화아파트101동,102동,103동,105동,106동",부산진구,31+,100-299,MISSING,49.1,39.8
26230-180,"삼정코아",부산진구,21-30,100-299,MISSING,72.5,55.1
26230-2566,"삼한골든뷰센트럴파크",부산진구,0-10,1000+,KNOWN,68.9,84.8
26230-191,"세운이노빌",부산진구,21-30,unknown,MISSING,61.0,49.6
26230-2629,"서면아이파크1단지",부산진구,0-10,1000+,KNOWN,66.4,85.8
26230-2373,"서면봄여름가을겨울",부산진구,11-20,100-299,KNOWN,61.3,69.0
26230-43,"삼환",부산진구,21-30,100-299,KNOWN,23.5,53.3
