id,aptSeq,mgmBldrgstPk,name,normalizedName,sido,sigungu,sggCd,umdName,umdCd,jibun,roadAddress,jibunAddress,latitude,longitude,geocodeQuality,buildYear,useApprovalDate,mainBuildingCount,totalHouseholds,parkingCount,createdAt,updatedAt
1945,26140-177,,아크로폴리스,아크로폴리스,부산,서구,26140,토성동5가,11800,46-1,,,35.09706167323422,129.0214021185631,normalized,2003,,,,,2026-08-13T07:43:31.174Z,2026-08-13T12:23:54.535Z
1953,26140-18,,정림파크,정림파크,부산,서구,26140,동대신동3가,10300,63-245,,,35.11777068501137,129.0199439129593,normalized,1989,,,,,2026-08-13T07:43:43.228Z,2026-08-13T12:23:54.643Z
1988,26140-191,,골든캐슬,골든캐슬,부산,서구,26140,동대신동2가,10200,367,,,35.11155712072291,129.0173448859967,normalized,2005,,,,,2026-08-13T07:45:46.028Z,2026-08-13T12:23:55.209Z
1915,26140-192,,유니온캐슬2차,유니온캐슬2차,부산,서구,26140,서대신동1가,10400,54-17,,,35.10881596879154,129.0170064331312,normalized,2004,,,,,2026-08-13T07:41:53.448Z,2026-08-13T12:23:54.141Z
1935,26140-2,,진흥목화,진흥목화,부산,서구,26140,동대신동1가,10100,339-5,,,35.10787036025878,129.0214036863053,normalized,1998,,,,,2026-08-13T07:42:55.013Z,2026-08-13T12:23:54.402Z
1980,26140-208,,(76-0),(76-0),부산,서구,26140,서대신동2가,10500,76,,,35.11073949082945,129.0166568492943,normalized,2002,,,,,2026-08-13T07:44:54.570Z,2026-08-13T12:23:55.081Z
1971,26140-209,,구덕하이츠,구덕하이츠,부산,서구,26140,서대신동3가,10600,19-6,,,35.1209071471982,129.0125564315988,normalized,1993,,,,,2026-08-13T07:44:41.015Z,2026-08-13T12:23:54.904Z
1904,26140-212,,봄여름가을겨울,봄여름가을겨울,부산,서구,26140,토성동1가,11200,51-1,,,35.09833966362714,129.0244183820692,normalized,2005,,,,,2026-08-13T07:41:01.138Z,2026-08-13T12:23:53.977Z
1931,26140-31,,신우빌라,신우빌라,부산,서구,26140,서대신동2가,10500,36-11,,,35.11161165352874,129.0162341848923,normalized,2000,,,,,2026-08-13T07:42:48.971Z,2026-08-13T12:23:54.347Z
1973,26140-32,,자유,자유,부산,서구,26140,서대신동2가,10500,473-2,,,35.11045478376285,129.0090575354253,normalized,1993,,,,,2026-08-13T07:44:44.011Z,2026-08-13T12:23:54.941Z
2026,26140-37,,희망센츄럴타운,희망센츄럴타운,부산,서구,26140,서대신동2가,10500,120,,,35.1101836344332,129.017350503694,normalized,2002,,,,,2026-08-13T07:47:54.937Z,2026-08-13T12:23:55.823Z
2042,26140-38,,구덕,구덕,부산,서구,26140,서대신동3가,10600,453-2,,,35.11654638978467,129.014506665377,normalized,1979,,,,,2026-08-13T07:48:41.142Z,2026-08-13T12:23:56.110Z
